Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Isopeptide bond	8	14.545454545454545	0.027734439083459617	TOP2A, LIG1, TPM1, FHL2, RPA1, TCEA2, NOLC1, HIST2H2BE	55	1132	20581	2.64452296819788	0.9911312247584608	0.39814595131174274	0.3910362021811759
UP_KEYWORDS	Cytoskeleton	8	14.545454545454545	0.028438996522267338	CLIC4, TPM1, STMN1, BIRC5, KIF2C, KIF20A, ARHGEF2, RELB	55	1138	20581	2.630579964850615	0.9921481397546121	0.39814595131174274	0.3910362021811759
UP_KEYWORDS	Ubl conjugation	10	18.181818181818183	0.03212534559864598	TOP2A, CCNA2, TXNRD1, FHL2, RPA1, TCEA2, NOLC1, BIRC5, KIF2C, HIST2H2BE	55	1705	20581	2.1947214076246335	0.9958541680959994	0.4151583123517327	0.4077447710597374
UP_KEYWORDS	Nucleus	21	38.18181818181819	0.04001475328204553	TOP2A, CLIC4, ZNF274, LIG1, TXNRD1, USP22, FHL2, RPA1, PSIP1, NOLC1, HIST2H2BE, RELB, CCNA2, EBP, TCEA2, BIRC5, PCBD1, KIF2C, NCAPD2, CPNE3, LBR	55	5244	20581	1.498512585812357	0.998951795861702	0.48017703938454637	0.4716024493955367
UP_KEYWORDS	Magnesium	5	9.090909090909092	0.05656549310361622	TOP2A, LIG1, INPP1, MTHFD2, ATP2C1	55	552	20581	3.3894927536231885	0.9999435615398904	0.6335335227605017	0.6222204241397784
UP_KEYWORDS	Disease mutation	12	21.818181818181817	0.06441555750669184	EBP, NPC1, NNT, OXCT1, P4HA2, TPM1, PYCR1, PCBD1, ATP2C1, HADH, SLC37A4, LBR	55	2550	20581	1.7609411764705882	0.9999861342755192	0.6763633538202644	0.6642854367877596
UP_KEYWORDS	ATP-binding	8	14.545454545454545	0.07015335858609392	TOP2A, LIG1, NOLC1, DDX10, KIF2C, KIF20A, ATP2C1, PAICS	55	1391	20581	2.152120776419842	0.9999950670933881	0.6932802495566929	0.6809002451003233
UP_KEYWORDS	NAD	3	5.454545454545454	0.07719857350347654	NNT, MTHFD2, HADH	55	175	20581	6.414857142857143	0.9999986253655966	0.7205200193657811	0.7076535904485349
UP_KEYWORDS	NADP	3	5.454545454545454	0.08568717461020739	NNT, TXNRD1, PYCR1	55	186	20581	6.035483870967742	0.9999997089762821	0.7356053928073722	0.7224695822215264
UP_KEYWORDS	Chromosome	4	7.2727272727272725	0.08757207057230622	BIRC5, KIF2C, NCAPD2, HIST2H2BE	55	400	20581	3.7419999999999995	0.9999997942405193	0.7356053928073722	0.7224695822215264
UP_KEYWORDS	Alternative splicing	34	61.81818181818181	0.09860418033718393	TOP2A, ZNF274, ALAS1, SLC35F2, FHL2, NOLC1, PSIP1, ATP2C1, PGRMC1, OXCT1, GPC1, STMN1, ANXA7, STX4, HADH, SLC37A4, MPZL1, LIG1, TXNRD1, USP22, TPM1, PYCR1, PAICS, GNPDA1, NPC1, P4HA2, MTHFD2, TCEA2, BIRC5, PSMG1, KIF2C, KIF20A, ARHGEF2, TRIB1	55	10587	20581	1.2017379805421742	0.9999999733430376	0.7888334426974715	0.7747471312207309
