,CDRP-bio-Lasso,CDRP-bio-MLP,LUAD-Lasso,LUAD-MLP,LINCS-Lasso,LINCS-MLP,TAORF-Lasso,TAORF-MLP
ARFIP2,-8.09,-7.34,-4.88,-0.11,21.11,41.03,9.32,17.29
ARHGAP1,3.79,16.04,63.28,87.97,11.96,38.84,-7.68,-6.55
ARHGEF12,,,15.24,43.03,8.91,18.07,-8.73,3.66
ARHGEF2,22.95,38.08,41.36,64.64,-1.48,27.14,6.01,30.03
ARID4B,-3.03,-0.87,-10.78,-7.03,6.49,19.22,0.99,-0.06
ARID5B,13.11,71.88,21.09,34.67,18.2,32.13,-10.18,4.03
ARL4C,-2.56,6.21,77.63,63.14,25.0,49.19,23.98,31.93
ARNT2,-4.24,1.1,34.55,45.03,16.08,29.98,3.47,10.22
ARPP-19,-1.11,32.82,17.0,13.06,14.59,19.82,22.32,2.63
ASAH1,,,27.81,39.67,23.17,43.96,5.76,16.58
ASCC3,-5.02,-0.05,41.05,60.63,20.34,34.22,23.67,29.12
ATAD4,-6.21,10.45,22.76,22.61,17.09,24.35,-2.25,-0.32
ATF1,,,82.62,85.75,-9.15,11.65,3.28,15.53
ATF5,-3.57,17.95,29.48,45.69,7.52,16.16,-4.07,-1.85
ATF6,,,13.2,43.26,55.37,76.88,-2.07,-0.83
ATG3,-9.28,-1.95,26.92,46.58,2.29,10.61,7.58,-0.52
ATMIN,28.57,81.34,-0.35,36.67,1.37,29.59,8.36,1.95
ATP11B,-6.78,-1.08,4.37,15.01,5.41,15.8,1.75,44.59
ATP1B1,5.88,73.68,46.73,55.37,34.97,62.75,5.31,20.62
ATP2C1,17.23,55.14,23.06,30.61,20.64,32.79,8.37,32.13
ATP5S,-2.09,24.71,19.93,37.36,12.55,23.96,0.81,13.17
ATP6V0B,15.03,21.73,45.43,50.76,15.52,30.59,1.38,7.6
ATP6V1D,8.77,11.36,-1.71,-2.58,-0.26,12.87,3.2,25.16
AURKA,,,80.3,94.96,39.21,79.6,4.29,19.08
AURKB,,,72.31,74.43,30.9,48.88,-11.61,18.84
AXIN1,,,5.57,6.79,16.07,40.25,-4.38,31.85
B3GNT1,32.18,95.46,47.89,47.74,31.45,55.23,17.5,23.95
BACE2,-3.14,44.08,-2.58,7.71,0.58,18.36,10.88,2.57
BAD,15.87,4.47,24.77,33.16,5.31,12.25,1.94,-7.99
BAG3,21.33,25.24,-0.85,19.13,3.75,16.26,-5.36,-0.82
BAMBI,18.98,53.4,11.4,54.26,3.98,11.38,-3.91,-2.08
BAX,,,36.36,48.96,25.57,28.55,10.23,-1.14
BCL2,-2.6,0.86,22.58,8.51,0.93,7.78,-2.86,0.55
BCL7B,27.23,56.86,69.72,56.86,13.91,44.29,-2.12,-0.33
BDH1,-0.31,1.23,32.45,46.52,3.51,12.8,-6.51,5.55
BECN1,-3.03,64.99,46.19,46.36,21.32,32.95,5.36,20.64
BHLHE40,33.08,48.99,16.07,68.66,7.81,32.94,-0.29,13.51
BID,-16.21,34.42,-1.47,1.65,2.37,11.94,-4.8,-2.23
BIRC2,,,14.09,45.72,6.67,26.55,4.83,6.57
BIRC5,26.14,44.78,86.03,98.21,49.34,71.82,25.22,42.64
BLCAP,-4.3,-1.2,55.41,67.09,34.48,48.99,7.81,24.08
BLMH,-9.48,8.47,-0.92,16.72,-6.75,5.51,5.97,13.99
BLVRA,9.15,14.78,-5.66,40.74,29.97,64.91,5.12,31.46
BMP4,,,4.68,10.68,2.7,16.56,-2.89,-0.23
BNIP3,0.16,1.88,46.47,90.78,-0.29,25.82,-4.11,-2.44
BNIP3L,,,35.45,55.3,20.6,60.83,4.8,1.26
BPHL,-8.26,7.23,31.48,53.01,3.56,18.07,7.25,5.21
BRCA1,,,63.2,70.0,20.42,37.02,-16.12,2.57
BRP44,-6.05,8.35,67.7,78.97,5.99,16.81,-8.74,-1.45
BTK,,,3.37,13.34,-1.57,1.75,-3.67,-5.92
BUB1B,25.86,55.06,21.49,59.53,26.22,43.44,2.44,15.56
BZW2,0.81,23.53,32.08,49.44,-2.51,10.54,6.48,-1.02
C2CD2,-5.28,22.27,9.79,18.81,-0.44,0.02,-3.83,-1.6
C2CD2L,-7.67,-1.39,6.1,28.66,10.56,17.78,-10.15,-3.69
C5,,,76.13,99.33,24.76,45.37,2.27,20.06
CAB39,-6.04,8.63,11.38,18.55,4.04,11.91,-3.69,0.48
CABC1,3.59,36.43,-1.28,13.54,-1.68,-0.41,-3.03,-2.7
CALM1///CALM2///CALM3,,,18.54,32.71,13.35,39.54,6.57,6.11
CALU,-2.31,15.12,40.04,96.82,24.32,35.78,-9.44,7.12
CAMSAP1L1,-5.6,23.87,47.01,51.18,14.53,18.6,3.66,9.48
CANT1,25.65,63.9,3.3,0.54,-2.76,-1.03,-12.18,0.22
CAPN1,-2.05,30.75,24.51,57.2,-11.29,5.2,-1.54,-0.66
CASC3,6.75,51.3,66.3,75.97,14.06,36.59,1.19,0.1
CASK,-6.13,10.46,51.07,72.57,0.2,19.09,-4.0,-0.54
CASP10,,,13.19,23.21,6.59,10.0,3.78,21.92
CASP2,,,26.43,23.59,4.67,4.82,-2.08,2.31
CASP3,-4.54,20.68,18.6,56.61,6.33,16.72,1.2,18.1
CASP7,,,43.57,29.9,-1.19,9.0,2.18,21.74
CAST,-0.53,23.99,1.69,10.1,4.72,16.44,1.47,-2.0
CAT,10.12,24.1,81.45,94.65,38.19,60.64,6.82,0.92
CBLB,,,35.71,87.42,3.34,24.33,1.19,29.2
CBR1,25.23,29.93,58.66,73.17,20.34,43.19,6.37,9.97
CBR3,-3.54,15.52,28.17,93.68,27.24,48.06,-3.62,-1.08
CCDC85B,-0.68,22.53,61.42,48.44,3.43,11.66,23.82,71.96
CCDC86,-5.29,0.06,32.62,37.57,11.24,21.65,-15.36,-6.98
CCDC90A,-6.63,-3.42,37.46,69.93,4.05,5.2,5.87,-1.65
CCDC92,2.14,11.87,56.8,55.97,34.92,61.61,-1.48,-0.53
CCL2,,,79.37,94.75,19.52,59.47,1.32,4.37
CCNA1,,,10.88,14.93,3.17,16.41,0.48,5.78
CCNA2,47.24,96.15,84.16,93.96,52.95,65.88,29.82,37.63
CCNB1,,,29.52,33.25,10.29,15.57,-1.41,-3.47
CCNB2,24.42,90.48,13.7,21.08,12.17,19.57,8.07,0.04
CCND1,,,42.41,5.49,4.95,23.09,7.02,11.11
CCND3,,,66.91,95.65,15.57,83.66,-6.02,0.55
CCNE2,,,9.96,53.04,4.74,10.7,2.58,3.98
CCNF,47.81,89.85,38.43,48.24,15.42,27.01,-3.83,-0.31
CCNH,,,42.01,69.85,12.63,20.44,8.73,5.26
CD320,-4.93,17.28,63.42,73.99,6.4,12.2,2.92,3.02
CD40,,,21.78,30.72,9.03,16.56,-2.36,5.8
CD44,2.26,30.09,18.97,19.57,9.85,16.64,-9.41,4.21
CD58,18.62,44.42,46.49,56.78,2.69,8.51,-0.41,3.53
CD97,4.18,14.1,2.4,18.85,6.42,11.36,-2.28,-0.51
CDC2,28.73,62.78,87.28,95.54,47.44,85.61,8.58,12.95
CDC20,,,43.51,44.27,18.95,19.21,-7.47,-1.51
CDC25A,,,79.95,93.3,29.26,50.8,1.6,3.67
CDC25B,,,36.0,41.43,23.13,40.44,-2.66,-1.66
CDC2L6,-0.19,4.18,18.1,49.6,19.28,39.22,0.87,8.53
CDC42,,,48.87,63.33,4.99,14.18,-9.45,0.99
CDC45L,-3.22,25.33,63.44,61.88,28.08,46.34,-4.84,0.37
CDCA4,30.09,69.46,5.2,46.62,14.62,22.06,-6.51,-5.96
CDH3,-0.13,43.31,-0.73,-0.1,0.41,3.05,5.28,3.57
CDK2,13.2,19.81,72.79,76.55,39.58,49.63,-1.44,10.06
CDK4,,,31.04,61.9,40.62,51.87,26.87,57.05
CDK5R1,,,49.53,54.21,4.33,29.43,-4.65,3.89
CDK6,,,9.96,63.3,2.44,25.93,13.05,0.13
CDK7,,,44.93,59.88,17.17,50.72,-0.12,21.02
CDKN1A,-2.77,28.39,86.84,92.83,54.17,72.41,2.62,-0.84
CDKN1B,,,31.35,83.54,4.44,14.48,-1.65,50.96
CDKN2A,,,-5.7,3.86,-2.76,-0.59,-1.0,1.74
CEBPA,,,10.37,97.1,6.26,33.81,-0.02,0.89
CEBPD,-2.96,-1.68,67.83,90.49,39.06,62.68,-4.41,2.13
CEBPZ,-7.93,11.35,7.39,15.4,1.81,2.5,-8.83,-1.22
CENPE,13.34,33.66,58.34,65.96,4.24,20.64,-5.9,0.22
CEP57,-8.51,-0.4,1.1,12.53,0.85,6.15,6.57,-0.06
CERK,6.07,93.91,10.98,15.47,5.71,10.42,-1.25,0.76
CETN3,-8.17,-8.88,57.79,54.78,28.16,49.93,25.48,65.09
CFLAR,3.43,42.93,26.04,44.56,-3.35,25.88,-2.27,2.58
CGRRF1,0.26,-0.92,63.9,75.11,-1.98,15.04,-1.74,5.59
CHAC1,18.6,42.03,29.11,36.32,15.67,40.04,12.17,7.48
CHEK1,,,37.8,32.87,42.5,53.89,-2.09,1.27
CHEK2,-3.56,21.16,75.97,82.86,38.44,52.11,-1.3,1.02
CHERP,18.22,16.39,54.73,56.04,10.97,31.39,6.25,0.4
CHIC2,35.41,43.81,-0.41,-0.46,0.74,6.47,-12.54,-5.81
CHMP4A,-7.17,-2.29,4.62,7.0,-2.45,-0.09,-10.14,2.26
CHMP6,-4.16,80.85,21.87,38.67,-2.24,4.1,-0.59,35.98
CHN1,-5.43,10.87,30.87,21.61,0.64,7.49,13.19,7.28
CHP,,,14.29,12.81,13.53,16.77,-5.9,-0.12
CIAPIN1,-4.38,13.97,2.92,30.45,6.74,18.48,-3.89,-0.09
CIRBP,1.66,1.74,15.63,34.53,10.32,37.77,-1.1,9.4
CISD1,29.76,37.96,-2.68,65.08,7.5,34.09,-0.48,1.05
CLIC4,10.2,42.47,51.55,98.62,11.59,36.68,20.2,44.81
CLPX,7.67,23.18,42.18,42.89,1.15,6.65,-0.43,2.03
CLSTN1,-3.91,-1.59,68.77,98.01,-6.49,21.09,-0.14,14.03
CLTB,9.3,1.39,46.56,48.25,15.16,30.47,-2.99,-2.62
CLTC,,,34.24,64.0,11.72,40.45,1.36,20.21
CNDP2,-6.42,5.45,4.3,5.89,5.01,16.18,-3.05,-1.11
CNOT4,-0.39,-5.03,-2.36,0.18,0.67,18.23,-0.27,4.65
CNPY3,-4.64,10.53,-4.48,-0.48,-1.45,4.99,-1.13,6.94
COASY,28.06,34.95,27.46,48.06,5.05,17.48,10.01,6.43
COG2,7.39,36.36,36.15,27.02,4.72,17.22,-8.97,-0.32
COG4,-5.87,4.41,11.67,54.82,-6.52,17.51,-0.13,6.46
COG7,-11.77,3.27,10.36,44.33,0.48,3.68,-4.76,-0.62
COL1A1,,,65.56,98.39,-1.97,14.76,49.07,67.26
COL4A1,,,89.3,96.48,16.84,37.7,20.46,20.74
COPB2,-4.75,37.89,24.7,93.53,14.22,37.51,-0.08,2.79
COPS7A,-21.92,16.2,39.9,57.37,19.36,27.94,-4.04,0.1
CORO1A,1.57,11.78,30.68,38.2,3.67,6.65,15.16,1.09
CP110,-1.15,14.31,5.5,7.67,4.67,27.84,1.42,17.55
CPNE3,26.53,54.4,17.57,54.5,6.19,30.72,27.41,51.54
CPSF4,23.02,48.42,20.53,55.28,12.28,39.88,5.66,0.82
CREB1,4.62,4.28,10.34,31.22,-2.31,5.01,-1.29,-0.7
CREG1,-1.36,31.3,57.3,62.33,2.3,22.77,-1.09,-2.53
CRELD2,4.32,26.44,32.27,50.42,5.28,14.32,-9.95,1.06
CRK,,,4.99,5.69,-2.68,10.81,-1.93,-0.14
CRKL,24.57,47.68,-3.06,2.39,14.7,19.53,11.7,22.72
CRTAP,-6.89,4.2,3.6,26.12,0.98,20.01,-2.5,13.61
CRYZ,-6.88,54.51,51.01,98.71,36.54,56.46,1.84,-3.14
CSK,24.71,35.25,4.98,17.98,-3.82,-0.44,0.23,2.18
CSNK1A1,,,18.39,58.29,10.54,14.82,-2.5,-0.45
CSNK1E,,,63.62,66.14,10.71,27.3,-10.17,-2.61
CSNK2A2,-7.0,33.89,33.91,40.0,37.25,46.87,12.77,14.65
CSRP1,-7.37,29.96,55.48,58.44,-4.54,0.79,-0.57,0.03
CTNNAL1,45.06,37.53,60.12,70.99,10.82,20.71,18.97,17.36
CTNND1,1.22,37.32,40.6,71.28,20.41,34.09,7.11,1.54
CTSD,-2.3,3.85,55.36,97.07,29.88,46.02,40.16,4.03
CTSL1,1.26,26.86,68.45,97.46,28.19,85.63,-1.24,21.41
CTTN,5.89,16.58,18.54,6.92,10.17,11.89,-4.61,0.3
CXCL2,,,66.37,95.8,17.07,43.96,-14.22,-8.93
CXCR4,-4.78,4.24,-3.42,-2.58,6.64,15.39,-1.63,5.14
CYB561,-33.05,9.33,11.52,19.58,6.35,25.46,1.46,8.1
CYCS,,,12.28,21.07,-2.01,5.82,-2.7,0.03
CYTH1,-7.62,14.49,54.42,94.57,14.4,31.25,1.68,-1.19
DAG1,,,70.23,81.19,14.4,42.38,39.18,31.6
DAXX,,,7.57,22.65,17.61,27.45,-10.78,-2.84
DCK,15.21,51.04,81.11,84.49,26.63,33.76,4.94,0.37
DCTD,-0.49,0.69,46.87,54.74,8.18,30.27,3.51,-0.83
DCUN1D4,2.29,0.31,8.34,9.88,3.4,0.66,-1.9,-0.05
DDB2,6.24,39.78,69.33,85.68,39.77,73.69,9.38,8.04
DDIT4,8.79,32.15,58.94,99.31,53.42,75.15,-1.15,4.46
DDR1,-4.68,7.04,24.53,69.41,29.0,41.7,-2.78,-1.75
DDX10,34.54,48.39,77.03,79.83,25.31,52.44,25.37,31.6
DDX42,-1.63,0.58,-0.76,-2.17,1.04,0.93,-3.09,-1.32
DECR1,-12.43,26.69,44.38,53.3,32.58,50.24,11.81,3.82
DENND2D,-6.91,0.1,-1.84,-0.67,6.33,12.43,-6.16,-3.49
DERA,1.42,-0.1,5.22,27.08,22.26,29.55,-7.88,-2.14
DFFA,,,9.23,35.44,10.45,22.42,-0.95,7.81
DFFB,,,8.76,16.59,-0.16,21.26,10.19,-1.95
DHDDS,-5.55,9.06,21.41,31.45,8.39,22.08,-1.05,-0.08
DHRS7,1.9,0.75,42.29,65.75,11.25,23.72,-3.3,-3.45
DHX29,-3.03,3.57,27.89,49.78,23.56,47.38,-10.87,-4.23
DLD,20.52,36.91,0.34,4.54,-2.49,-0.77,17.65,-0.38
DMTF1,19.52,95.97,10.21,26.92,-0.98,7.23,3.28,6.66
DNAJA3,18.35,97.6,-1.91,7.51,1.52,1.27,-8.49,-20.33
DNAJB1,18.16,56.12,-3.37,7.3,39.6,53.37,23.82,-1.04
DNAJB2,9.44,28.29,84.16,92.68,21.15,40.72,4.56,16.55
DNAJB6,-4.34,51.16,46.57,49.25,4.72,14.0,-2.01,-4.24
DNAJC15,-8.34,12.6,-1.99,-1.58,14.6,21.03,-1.18,-0.28
DNM1,4.64,17.28,58.82,69.66,25.13,30.23,7.12,43.96
DNM1L,-5.8,9.12,-2.28,7.57,-1.53,1.53,-0.94,-0.33
DNMT1,-3.91,-7.57,27.26,49.46,1.92,31.04,5.54,-1.66
DNMT3A,,,39.58,43.35,17.71,33.9,7.17,21.04
DNTTIP2,-7.03,-0.49,64.41,91.34,15.15,41.07,6.82,19.42
DPH2,-1.22,11.4,66.2,94.43,17.19,32.02,13.16,32.99
DRAP1,-6.84,-3.32,56.99,79.29,44.98,87.37,-0.86,1.01
DSG2,-18.03,22.05,57.86,61.0,16.35,26.61,-3.17,0.7
DUSP11,-3.54,14.66,14.72,53.94,11.18,21.57,6.95,75.32
DUSP14,-6.58,14.85,52.29,66.39,23.46,71.31,-7.27,0.05
DUSP22,-6.29,-2.53,6.18,24.5,-1.65,10.45,-3.42,-0.58
DUSP3,,,61.23,60.64,5.57,26.85,-2.68,3.86
DUSP4,,,80.05,87.23,31.03,89.14,-0.7,1.27
DUSP6,,,70.13,93.71,16.84,52.8,-4.95,3.36
DYNLT3,4.03,5.43,11.85,36.01,5.01,14.73,11.92,0.88
DYRK3,1.02,64.07,12.83,30.04,16.07,26.9,4.53,2.23
E2F2,,,-6.65,-8.84,-0.6,-0.77,-0.37,3.35
EAPP,7.35,10.31,19.33,30.12,7.39,27.77,-7.06,-2.83
EBNA1BP2,-2.49,12.48,65.86,69.69,27.9,52.81,45.98,79.21
EBP,-8.47,23.45,55.48,60.6,21.62,42.35,41.99,78.8
ECD,-1.89,1.15,57.42,51.61,-0.45,17.95,-1.78,0.27
ECH1,-0.06,64.36,40.68,93.35,19.36,39.49,-0.96,2.57
EDEM1,0.98,5.57,4.91,36.44,-0.9,-0.65,8.24,2.19
EDN1,,,63.27,89.6,21.89,43.51,0.22,-0.34
EED,,,61.26,52.74,3.96,19.49,7.95,3.36
EGF,,,-10.74,7.88,0.51,7.45,-8.44,-8.02
EGFR,-7.03,-1.91,15.26,43.77,13.94,47.03,-0.03,3.38
EGR1,,,51.8,51.32,11.68,43.9,22.0,13.63
EIF4EBP1,,,70.42,93.48,35.56,55.38,1.03,91.17
EIF4G1,,,6.5,66.94,9.11,18.42,0.29,-0.01
EIF5,9.45,66.38,32.81,49.62,26.21,35.51,-0.75,0.29
ELAC2,-4.96,-0.09,42.84,51.31,22.84,42.08,8.4,-0.56
ELAVL1,-9.53,15.15,35.43,32.31,11.21,35.59,-6.48,0.19
ELOVL6,-21.26,15.41,46.17,96.71,30.04,57.36,16.82,19.14
EML3,-15.73,-5.89,52.25,53.05,-0.61,11.95,20.9,14.04
ENOPH1,2.25,7.61,8.19,24.7,5.07,19.89,-5.88,0.92
ENOSF1,-2.97,-1.03,54.45,66.24,20.29,36.01,-0.13,-7.72
EPB41L2,-5.0,13.6,49.88,81.78,27.45,73.11,2.69,11.47
EPHA3,,,5.73,-0.25,0.36,5.2,0.61,11.87
EPHB2,,,50.07,82.92,-0.25,11.89,-3.74,8.06
EPN2,-5.9,-0.81,55.35,62.26,9.22,26.61,-9.09,-0.13
EPRS,3.71,85.39,64.19,87.24,17.04,45.18,10.68,19.93
ERBB2,22.71,34.35,72.71,90.21,3.75,34.75,-19.42,-3.32
ERBB3,,,49.02,47.67,2.71,11.97,-11.14,0.37
ERO1L,,,56.83,71.18,13.93,35.58,-2.19,-0.23
ETFB,19.65,16.01,-0.72,-3.22,8.24,29.79,8.28,0.65
ETS1,,,38.09,28.05,7.74,17.98,29.97,62.1
ETV1,,,9.85,18.37,27.63,34.02,-4.09,0.07
EVL,0.0,7.61,27.16,52.63,-1.65,-2.34,-2.04,2.52
EXOSC4,5.26,22.44,33.21,42.44,-4.84,7.3,0.58,1.1
EXT1,-8.81,-12.71,35.0,48.58,7.0,18.55,-1.01,-0.05
EZH2,5.89,35.24,74.59,97.95,10.37,25.25,7.34,11.5
FAH,7.67,44.97,24.37,47.76,1.1,13.82,0.69,-0.47
FAIM,2.01,15.04,30.39,29.78,8.21,22.55,10.15,6.15
FAM20B,-3.52,25.13,64.5,86.86,20.24,32.65,1.58,11.54
FAM57A,-7.44,-2.47,-0.37,42.13,10.16,26.7,-0.22,-0.79
FAM63A,-2.1,9.18,-0.01,13.67,8.23,16.79,-1.34,-1.52
FAM69A,9.56,22.11,20.1,40.92,-2.55,2.32,-6.72,-0.84
FAS,-10.69,0.89,51.21,66.34,31.23,48.53,-0.44,0.11
FASTKD5,-8.73,0.4,19.82,44.6,17.99,32.87,16.02,2.1
FAT1,-1.31,-2.03,29.56,52.21,12.39,27.08,10.55,39.45
FBXL12,32.68,42.02,36.87,42.07,8.29,15.43,-1.16,13.89
FBXO11,,,7.85,5.98,-5.89,19.82,-3.44,-3.69
FBXO21,4.88,24.92,12.87,23.35,6.57,13.52,-1.49,-1.27
FBXO7,4.76,-6.06,-1.89,27.04,5.48,9.46,-4.46,17.81
FCHO1,-4.65,9.61,25.96,43.72,-1.39,20.18,-11.8,3.33
FDFT1,22.43,30.94,34.54,39.58,1.6,15.38,11.06,17.67
FEZ2,-1.67,15.98,61.15,50.15,0.63,14.41,-0.49,0.0
FGFR2,,,10.13,14.67,19.98,33.16,4.53,4.87
FGFR4,,,50.69,54.41,-3.98,-0.34,6.96,0.49
FHL2,-13.3,62.7,75.72,97.68,22.62,40.72,14.19,35.92
FIS1,3.08,32.31,30.46,42.24,0.59,6.65,-3.18,-0.71
FKBP14,-3.79,7.91,4.93,19.03,11.9,27.19,-2.04,64.92
FKBP4,14.92,20.24,5.48,1.81,18.41,26.74,-2.52,3.43
FOS,19.43,41.91,0.3,5.04,2.19,17.22,-1.16,-0.02
FOSL1,,,77.42,83.41,47.98,91.24,2.67,38.14
FOXJ3,12.8,29.48,18.81,35.7,-4.34,-0.5,15.13,-0.38
FOXO3,,,-3.24,-0.03,16.18,43.17,16.62,-0.04
FOXO4,-7.97,-1.07,-3.92,-0.37,23.11,56.47,-0.5,-0.35
FPGS,-4.41,-2.66,4.2,-0.38,1.88,4.29,-4.33,5.18
FRS2,,,14.07,24.95,24.63,39.32,6.91,-4.79
FSD1,9.4,27.35,2.97,23.39,2.6,8.71,-2.5,-3.09
FUT1,-1.5,29.48,40.01,37.53,23.55,38.48,0.69,-6.43
FYN,,,15.59,0.79,6.0,9.42,-3.07,4.18
FZD1,,,21.38,32.52,7.3,17.78,4.7,39.79
FZD7,,,18.49,41.67,6.5,29.04,-13.66,-4.62
G3BP1,-4.38,14.99,3.14,-0.11,19.45,33.5,-7.4,-1.08
GAA,-2.76,-6.6,32.19,57.29,15.61,53.35,7.23,23.78
GABPB1,16.71,97.11,-3.57,32.82,17.5,48.96,-13.19,-3.7
GADD45A,15.38,32.0,88.68,95.1,32.43,50.23,0.86,9.75
GADD45B,16.1,37.3,32.43,53.79,26.21,45.37,-1.52,22.45
GALE,-2.62,0.63,69.78,98.01,19.9,51.38,0.21,36.85
GAPDH,,,-2.39,2.57,-0.49,3.09,-2.55,-2.06
GATA2,7.46,40.57,2.02,7.18,0.98,3.18,-10.66,8.24
GATA3,0.43,7.93,-4.62,0.83,-1.05,9.44,-3.4,-0.91
GDPD5,-0.96,5.46,64.88,47.41,8.36,21.53,-2.75,0.51
GFOD1,-9.47,-5.09,22.52,20.55,1.3,17.11,-4.89,-0.92
GFPT1,-2.51,24.1,-4.39,37.9,4.0,66.94,-9.34,1.83
GHR,,,-1.46,0.73,8.76,12.55,-4.72,-0.94
GLI2,,,-4.5,35.35,5.38,12.43,0.37,0.14
GLOD4,-6.73,-2.16,42.88,43.2,16.62,39.0,-5.05,3.31
GLRX,20.1,35.0,15.16,41.98,58.98,72.01,6.87,40.83
GMNN,-3.64,6.23,64.36,86.03,-0.6,18.77,8.5,-1.0
GNA11,4.04,7.18,-3.08,-0.58,-2.68,10.65,4.77,6.83
GNA15,,,8.59,13.17,4.85,10.12,7.96,-0.93
GNAI1,,,-2.38,-0.49,-7.43,15.16,-0.02,10.19
GNAI2,1.35,10.27,39.73,46.7,3.72,44.54,-17.34,-9.03
GNAS,0.82,17.01,0.97,5.08,-2.14,2.27,-7.2,3.85
GNB5,3.71,2.99,28.13,97.65,6.9,29.6,-1.51,9.08
GNPDA1,15.32,41.48,61.03,97.06,4.14,41.74,4.17,48.56
GOLT1B,1.06,9.47,19.81,19.87,2.06,3.8,19.36,33.02
GPATCH8,-14.68,19.59,9.82,16.68,1.75,7.22,-1.53,-1.31
GPC1,15.66,30.88,73.78,97.72,9.54,36.62,22.04,33.01
GPER,8.27,28.21,-4.29,-1.12,-0.97,-0.21,-6.44,57.41
GPR56,-5.42,3.09,62.34,97.79,32.38,54.73,2.95,25.66
GRB10,0.22,13.02,65.93,83.67,24.22,35.05,-5.6,8.55
GRB7,,,23.65,21.62,21.78,29.47,7.01,15.21
GRN,-8.54,13.46,67.24,66.95,34.88,56.86,-7.96,-14.35
GRWD1,-1.28,3.06,57.89,68.39,6.98,27.54,-5.64,13.04
GSTM2,10.24,27.24,6.53,18.17,1.93,6.87,5.67,30.67
GSTZ1,-4.61,-1.23,-5.35,15.03,5.6,13.73,-6.04,0.48
GTF2A2,-0.8,11.89,53.6,47.57,19.33,45.51,1.2,15.17
GTF2E2,-1.29,13.63,66.47,57.49,18.16,49.22,6.74,17.62
GTPBP8,3.56,2.4,13.5,5.53,-2.27,0.91,-2.17,20.73
H2AFV,-9.42,14.17,-9.33,-4.08,4.21,13.06,-0.97,-1.0
HADH,-1.52,27.71,64.62,82.9,16.5,33.04,25.08,29.11
HAT1,3.94,15.98,48.42,41.11,20.86,31.74,-3.69,0.77
HDAC2,-0.35,37.96,77.63,75.35,23.33,40.69,-13.02,-6.45
HDAC6,-0.61,10.53,34.48,69.16,1.71,10.68,15.67,42.09
HDGFRP3,-1.5,7.63,20.9,22.94,7.32,34.23,-0.19,0.05
